PairName,diff
1640-GSW Future-DOC.png 1640-GSW Future-PDF.png,0.8624
1642-Supra Thessal-DOC.png 1642-Supra Thessal-PDF.png,0.8533
1643-Front Fusion INC-DOC.png 1643-Front Fusion INC-PDF.png,0.8765
1644-Default-DOC.png 1644-Default-PDF.png,0.8793
1645-Default-DOC.png 1645-Default-PDF.png,0.8793
1646-Supra Oniki-DOC.png 1646-Supra Oniki-PDF.png,0.8670
1648-Default-DOC.png 1648-Default-PDF.png,0.8793
1649-Default-DOC.png 1649-Default-PDF.png,0.8793
1651-Front Crystal II INC-DOC.png 1651-Front Crystal II INC-PDF.png,0.8757
1652-Austen-DOC.png 1652-Austen-PDF.png,0.8728
1653-Parks-DOC.png 1653-Parks-PDF.png,0.8729
1654-Kahlo-DOC.png 1654-Kahlo-PDF.png,0.8728
1655-Curie-DOC.png 1655-Curie-PDF.png,0.8729
1669-Stirling-DOC.png 1669-Stirling-PDF.png,0.8856
1670-Steel-DOC.png 1670-Steel-PDF.png,0.8701
1671-Front Sovereign INC-DOC.png 1671-Front Sovereign INC-PDF.png,0.8768
1672-Front Monarch INC-DOC.png 1672-Front Monarch INC-PDF.png,0.8765
1675-Owl 1 Shipping-DOC.png 1675-Owl 1 Shipping-PDF.png,0.8730
1676-Owl 2 Shipping-DOC.png 1676-Owl 2 Shipping-PDF.png,0.8730
1677-Owl 3 Shipping-DOC.png 1677-Owl 3 Shipping-PDF.png,0.8730
1678-Owl 4 Shipping-DOC.png 1678-Owl 4 Shipping-PDF.png,0.8730
1679-Owl 5 Shipping-DOC.png 1679-Owl 5 Shipping-PDF.png,0.8730
1680-Owl 6 Shipping-DOC.png 1680-Owl 6 Shipping-PDF.png,0.8730
1681-NW 126-DOC.png 1681-NW 126-PDF.png,0.8365
1682-Default-DOC.png 1682-Default-PDF.png,0.8793
1684-Front Endurance INC-DOC.png 1684-Front Endurance INC-PDF.png,0.8761
1687-MNRR - M8-DOC.png 1687-MNRR - M8-PDF.png,0.8686
1688-Kalixenos-DOC.png 1688-Kalixenos-PDF.png,0.8937
1689-Fleet Trader II-DOC.png 1689-Fleet Trader II-PDF.png,0.8484
1690-Rederiet M.H. Simonsen-DOC.png 1690-Rederiet M.H. Simonsen-PDF.png,0.8773
1691-Simonsen Chartering-DOC.png 1691-Simonsen Chartering-PDF.png,0.8719
1693-Rederiet M.H. Simonsen (EUR)-DOC.png 1693-Rederiet M.H. Simonsen (EUR)-PDF.png,0.8767
1694-Simonsen Chartering (EUR)-DOC.png 1694-Simonsen Chartering (EUR)-PDF.png,0.8713
1695-Default-DOC.png 1695-Default-PDF.png,0.8793
1696-Faber Park-DOC.png 1696-Faber Park-PDF.png,0.8735
1697-Athos-DOC.png 1697-Athos-PDF.png,0.8836
1698-Front Nausta-DOC.png 1698-Front Nausta-PDF.png,0.8764
1706-Hawkes Bond-DOC.png 1706-Hawkes Bond-PDF.png,0.8966
1707-Mount Athos-DOC.png 1707-Mount Athos-PDF.png,0.9208
1708-Mont Fort-DOC.png 1708-Mont Fort-PDF.png,0.9291
1709-UCL SPRINGFIELD -DOC.png 1709-UCL SPRINGFIELD -PDF.png,0.8874
1710-Aston-DOC.png 1710-Aston-PDF.png,0.8672
1711-Vokaria-DOC.png 1711-Vokaria-PDF.png,0.8805
1712-Alfred N-DOC.png 1712-Alfred N-PDF.png,0.9075
1713-Essie C-DOC.png 1713-Essie C-PDF.png,0.9077
1715-Gladys W-DOC.png 1715-Gladys W-PDF.png,0.9096
1716-Jane S-DOC.png 1716-Jane S-PDF.png,0.9082
1717-Julia L-DOC.png 1717-Julia L-PDF.png,0.9096
1718-Linus P-DOC.png 1718-Linus P-PDF.png,0.9073
1719-Louis P-DOC.png 1719-Louis P-PDF.png,0.9075
1720-Marie C-DOC.png 1720-Marie C-PDF.png,0.9073
1721-Marie S-DOC.png 1721-Marie S-PDF.png,0.9081
1722-Marjorie K-DOC.png 1722-Marjorie K-PDF.png,0.9096
1723-Nancy P-DOC.png 1723-Nancy P-PDF.png,0.9081
1724-Otto H-DOC.png 1724-Otto H-PDF.png,0.9074
1725-Willard J-DOC.png 1725-Willard J-PDF.png,0.9073
1726-Default-DOC.png 1726-Default-PDF.png,0.8793
1727-Default-DOC.png 1727-Default-PDF.png,0.8793
1728-Lillesand-DOC.png 1728-Lillesand-PDF.png,0.8739
1729-Grimstad-DOC.png 1729-Grimstad-PDF.png,0.8750
1730-Karavas-DOC.png 1730-Karavas-PDF.png,0.8746
1731-Drepanos-DOC.png 1731-Drepanos-PDF.png,0.8740
1732-Klarvi-DOC.png 1732-Klarvi-PDF.png,0.8746
1733-QA Templates-DOC.png 1733-QA Templates-PDF.png,0.8514
1734-Martin-DOC.png 1734-Martin-PDF.png,0.8734
1735-Jeter-DOC.png 1735-Jeter-PDF.png,0.8733
1736-Ruth-DOC.png 1736-Ruth-PDF.png,0.8735
175-Default-DOC.png 175-Default-PDF.png,0.8793
1752-Petit Cham-DOC.png 1752-Petit Cham-PDF.png,0.8852
1753-Default-DOC.png 1753-Default-PDF.png,0.8660
1755-Interunity Rebill-DOC.png 1755-Interunity Rebill-PDF.png,0.7703
1756-Default-DOC.png 1756-Default-PDF.png,0.8793
176-Default-DOC.png 176-Default-PDF.png,0.9671
1760-Atl Ocean-DOC.png 1760-Atl Ocean-PDF.png,0.8856
1764-Ind Ocean Limited-DOC.png 1764-Ind Ocean Limited-PDF.png,0.8864
1765-BDP Spirit-DOC.png 1765-BDP Spirit-PDF.png,0.8777
1766-UML Bondi-DOC.png 1766-UML Bondi-PDF.png,0.8777
1767-Antarctic Ocean-DOC.png 1767-Antarctic Ocean-PDF.png,0.8552
1768-Pacific Ocean-DOC.png 1768-Pacific Ocean-PDF.png,0.8551
1770-Hampstead-DOC.png 1770-Hampstead-PDF.png,0.8496
1772-X-Rosnefteflot-DOC.png 1772-X-Rosnefteflot-PDF.png,0.8793
1773-X-Moderna-DOC.png 1773-X-Moderna-PDF.png,0.8806
1774-X-TRANSPETRO-DOC.png 1774-X-TRANSPETRO-PDF.png,0.8810
1775-Default-DOC.png 1775-Default-PDF.png,0.8793
178-GSW-DOC.png 178-GSW-PDF.png,0.9748
1785-Virono Pride-DOC.png 1785-Virono Pride-PDF.png,0.8939
179-Default-DOC.png 179-Default-PDF.png,0.8793
1790-X-NNPC-DOC.png 1790-X-NNPC-PDF.png,0.8810
1791-Aethalia Maritime S.A.-DOC.png 1791-Aethalia Maritime S.A.-PDF.png,0.8758
1792-Delano Shipping LLC-DOC.png 1792-Delano Shipping LLC-PDF.png,0.8726
1793-Kondot S.A.-DOC.png 1793-Kondot S.A.-PDF.png,0.8759
1796-Root Marine LLC-DOC.png 1796-Root Marine LLC-PDF.png,0.8726
1797-Socorra Shipping LLC-DOC.png 1797-Socorra Shipping LLC-PDF.png,0.8722
1798-Trans Sea Transport BV-DOC.png 1798-Trans Sea Transport BV-PDF.png,0.8678
1799-Zephyr Maritime LLC-DOC.png 1799-Zephyr Maritime LLC-PDF.png,0.8713
1800-X-Cargill-DOC.png 1800-X-Cargill-PDF.png,0.8799
1801-Arsland-DOC.png 1801-Arsland-PDF.png,0.9146
1814-UMLNB 6-DOC.png 1814-UMLNB 6-PDF.png,0.8687
1818-X-Exmar-DOC.png 1818-X-Exmar-PDF.png,0.8810
1819-X-Protank-DOC.png 1819-X-Protank-PDF.png,0.8812
182-Stena Bulk-DOC.png 182-Stena Bulk-PDF.png,0.9725
1820-X-Eurotankers-DOC.png 1820-X-Eurotankers-PDF.png,0.8813
1821-Aleyna-DOC.png 1821-Aleyna-PDF.png,0.8467
1822-Aleyna-EUR-DOC.png 1822-Aleyna-EUR-PDF.png,0.8467
1825-Emirhan-DOC.png 1825-Emirhan-PDF.png,0.8466
1826-Emirhan-EUR-DOC.png 1826-Emirhan-EUR-PDF.png,0.8465
1827-Hatice Ana-DOC.png 1827-Hatice Ana-PDF.png,0.8454
1828-Hatice Ana-EUR-DOC.png 1828-Hatice Ana-EUR-PDF.png,0.8454
1829-Lina-DOC.png 1829-Lina-PDF.png,0.8467
183-Stena Sonagol-DOC.png 183-Stena Sonagol-PDF.png,0.9732
1830-Lina-EUR-DOC.png 1830-Lina-EUR-PDF.png,0.8467
1831-Mina-DOC.png 1831-Mina-PDF.png,0.8478
1832-Mina-EUR-DOC.png 1832-Mina-EUR-PDF.png,0.8478
1833-Semiramis-DOC.png 1833-Semiramis-PDF.png,0.8477
1834-Semiramis-EUR-DOC.png 1834-Semiramis-EUR-PDF.png,0.8477
1835-X-Lyras-DOC.png 1835-X-Lyras-PDF.png,0.8813
1836-X-PST-DOC.png 1836-X-PST-PDF.png,0.8812
1837-Default-DOC.png 1837-Default-PDF.png,0.8793
1839-Front Driva-DOC.png 1839-Front Driva-PDF.png,0.8749
184-Stena Weco-DOC.png 184-Stena Weco-PDF.png,0.9749
1840-X-Thalkat-DOC.png 1840-X-Thalkat-PDF.png,0.8809
1841-Frontfleet Chartering Inc.-DOC.png 1841-Frontfleet Chartering Inc.-PDF.png,0.8751
1842-X-Modion-DOC.png 1842-X-Modion-PDF.png,0.8808
1843-X-Vestas-DOC.png 1843-X-Vestas-PDF.png,0.8800
1844-X-Vestas-Instruction-DOC.png 1844-X-Vestas-Instruction-PDF.png,0.8753
1845-CGM Shipowning Inc.-DOC.png 1845-CGM Shipowning Inc.-PDF.png,0.9129
1846-EMP Shipowning Inc.-DOC.png 1846-EMP Shipowning Inc.-PDF.png,0.9134
1848-SFL Lion Inc.-DOC.png 1848-SFL Lion Inc.-PDF.png,0.9140
1849-SFL Panther Inc.-DOC.png 1849-SFL Panther Inc.-PDF.png,0.9140
1850-SFL Puma Inc.-DOC.png 1850-SFL Puma Inc.-PDF.png,0.9141
1851-SFL Santorini Inc-DOC.png 1851-SFL Santorini Inc-PDF.png,0.9138
1855-SFL Tiger Inc.-DOC.png 1855-SFL Tiger Inc.-PDF.png,0.9140
1856-SFL Sicily Inc-DOC.png 1856-SFL Sicily Inc-PDF.png,0.9139
1866-SFL Shikoku Inc-DOC.png 1866-SFL Shikoku Inc-PDF.png,0.8745
1867-Default-DOC.png 1867-Default-PDF.png,0.8793
1870-Penfield Shipping-DOC.png 1870-Penfield Shipping-PDF.png,0.8882
1873-Emek-S-USD-DOC.png 1873-Emek-S-USD-PDF.png,0.7395
1874-Emek-S-EUR-DOC.png 1874-Emek-S-EUR-PDF.png,0.7393
1875-Haumea-USD-DOC.png 1875-Haumea-USD-PDF.png,0.7384
1877-Ceres-USD-DOC.png 1877-Ceres-USD-PDF.png,0.7366
1878-Ceres-EUR-DOC.png 1878-Ceres-EUR-PDF.png,0.7365
1879-Juno-USD-DOC.png 1879-Juno-USD-PDF.png,0.7379
1880-Juno-EUR-DOC.png 1880-Juno-EUR-PDF.png,0.7377
1881-Haumea-EUR-DOC.png 1881-Haumea-EUR-PDF.png,0.7382
1882-Jupiter-USD-DOC.png 1882-Jupiter-USD-PDF.png,0.7384
